Inst.	n	m	Raio	%D	U	fo_CPLEX	Status_CPLEX	t_CPLEX (s)	fo_BT	t_BT (s)
GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat	100	1000	5.5	0.5	0,05	380	Optimal	13.54	380	9.487699
GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat	100	1000	5.75	0.5	0,05	380	Optimal	53.98	380	8.360369
GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat	100	1000	6	0.5	0,05	380	Optimal	15.33	380	5.014861
GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat	100	1000	6.25	0.5	0,05	380	Optimal	137.22	380	2.649722
GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat	100	1000	4	0.6	0,05	391	Optimal	11	391	93.275876
GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat	100	1000	4.25	0.6	0,05	383	Optimal	62.51	395	26.622578
GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat	100	1000	4.5	0.6	0,05	380	Optimal	1152.68	380	14.341886
GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat	100	1000	4.75	0.6	0,05	380	Optimal	832.83	380	14.542765
GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat	100	1000	5	0.6	0,05	380	Optimal	142.22	380	13.965664
GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat	100	1000	3.25	0.7	0,05	585	Optimal	4.64	666	73.841609
GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat	100	1000	3.5	0.7	0,05	509	Optimal	6.27	573	115.001846
GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat	100	1000	3.75	0.7	0,05	462	Optimal	20.16	550	63.502847
GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat	100	1000	4.25	0.7	0,05	410	Optimal	119.33	412	106.546513
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat	100	10000	5.5	0.5	0,05	338	Optimal	1929.5	338	1.406423
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat	100	10000	5.75	0.5	0,05	338	Optimal	3772	338	1.386281
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat	100	10000	6	0.5	0,05	338	AbortTimeLim	86389.7	338	1.40047
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat	100	10000	6.25	0.5	0,05	338	Optimal	33955.6	338	1.391185
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat	100	10000	4	0.6	0,05	343	Optimal	26613.9	343	87.43849
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat	100	10000	4.25	0.6	0,05	338	Optimal	7961.93	338	49.200596
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat	100	10000	4.5	0.6	0,05	338	Optimal	2256.68	338	38.908817
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat	100	10000	4.75	0.6	0,05	338	Optimal	7003.28	338	23.669504
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat	100	10000	5	0.6	0,05	338	Optimal	17987	338	27.270694
